WT	Climate	NEE	WT	Climate	CH4	WT	Climate	N2O
-4.99	2	-0.323	1	2	0.119250014	6	2	4.756419136
-5	2	0.593247778	1	2	0.04081448	7	1	0.66770656
-5	2	-0.289363636	1	2	0.015167671	7	1	0.397670976
-5	2	-0.800750577	1	2	0.009652154	7	2	-0.240137221
-5	2	-1.05	1	3	0.068	7	2	-0.720411664
-5	2	-1.095	1	3	0.011	7.258064516	3	2.87
-5.12	2	4.61	0.959974984	2	0.189779299	7.75	2	22
-5.3	2	-0.06	0.8	2	-0.02493983	7.75	2	4
-5.33	2	-0.73	0.737704918	2	0.081571725	8.6	1	0.343064256
-5.335992518	1	-0.672	0.530973451	2	0.064191758	9	1	0.351737088
-5.424269715	2	0.46	0.51	2	0.11775	9.435	2	1.0488
-5.5	2	-0.321	0.5	1	0.184821429	10	1	-0.106424
-5.6	2	1.075777523	0.5	2	0.08535	10.43636364	2	-0.1575
-5.63	2	-0.542	0.5	2	0.0768818	10.7079646	2	0.3754
-5.7	2	-0.129797505	0.4	1	0.021376093	11.5	1	-0.08715104
-5.8	2	-0.358363636	0.4	2	0.01010031	12.5	2	0.0056
-6	2	0.439090909	0.4	2	-0.07640431	12.95333333	2	-0.735
-6	2	-2.099095129	0.3	2	0.216	14	2	-0.720411664
-6	2	-0.747272727	0.3	2	0.0531533	14	2	-1.440823328
-6.1	2	-0.229451526	0.278745645	2	0.111504425	18.8	2	10
-6.109145222	1	-0.125	0.2	2	0.049119455	18.8	2	4
-6.196	2	-1.188	0.1	2	0.010442	20	2	31.81818182
-6.2	2	-0.425454545	0.1	2	-0.029228537	23	2	0.3754
-6.25	1	2.198181818	0	2	0.68	23.33333333	2	1.146759177
-6.3	2	0.926202933	0	2	0.469193	25	2	2.731469656
-6.4	2	0.945816	0	2	0.37981565	32.8	1	0.570884271
-6.4	2	-25.87283694	0	2	0.256539325	38.05	2	0.713987361
-6.5	2	0.818798044	0	1	0.21	49	2	1.950600856
-6.53	2	-0.512727273	0	2	0.1983	57	2	-0.240137221
-6.534858417	3	-0.2	0	2	0.180267485	65	2	0
-6.557193409	1	-0.135	0	2	0.113190834	86	2	1.440823328
-6.568198773	2	-0.484505112	0	2	0.1125	87.8	2	0.532520512
-6.6	2	-0.158181818	0	2	0.110540414			
-6.6	2	0.748782814	0	2	0.102614884			
-6.775	1	-0.4	0	2	0.09004065			
-7	2	1.901609135	0	2	0.09			
-7	2	-0.616363636	0	2	0.08075625			
-7	1	-2.8829	0	2	0.06			
-7	1	-3.058	0	2	0.04603475			
-7.01	2	-0.429	0	2	0.04287095			
-7.04	2	-0.53	0	2	0.03375			
-7.051396925	2	0.32	0	2	0.03179765			
-7.148426887	3	4.451	0	1	0.02692623			
-7.3	2	0.235636364	0	2	0.026387552			
-7.368421053	2	-2.449	0	2	0.016990583			
-7.6	2	1.196918264	0	2	0.01177125			
-7.7	2	0.775793636	0	2	0.011020975			
-7.7	2	0.661171818	0	2	0.010797928			
-7.8	2	-10.60641725	0	2	0.010755242			
-7.9	2	0.18024163	0	2	0.009957939			
-7.9	2	0.18024163	0	2	0.00980924			
-7.9	2	-0.61	0	2	0.009805772			
-8	2	-1.167381974	0	2	0.009758619			
-8	2	-1.466216094	0	2	0.009589976			
-8	1	-0.29	0	2	0.00894023			
-8	1	-2.181818182	0	2	0.0081			
-8.05	2	-0.6433344	0	2	0.06147934			
-8.25	2	-1.546	0	2	0.023391565			
-8.5	2	-1.6126385	0	2	0.020096622			
-8.547053679	2	0.0789885	0	2	0.00133483			
-8.608247423	2	-0.052719272	0	3	0.079			
-8.63	2	-0.46	0	3	0.027			
-8.67	2	-0.94608	0	2	0.010449985			
-8.7	2	-0.158181818	0	2	0.286921736			
-9	2	1.366416941	-0.03	2	0.0768818			
-9	2	-0.829090909	-0.186574943	2	0.707550303			
-9	2	-1.076403248	-0.2	2	0.0704625			
-9	2	-1.36054615	-0.25	2	0.015073803			
-9.1	2	0.816680121	-0.28	3	0.066195			
-9.284	2	-0.96	-0.3	2	0.024916385			
-9.3	2	0.875722636	-0.3	2	0.01376399			
-9.4	2	-0.804969613	-0.4	2	0.05884814			
-9.473684211	2	-2.437	-0.4	2	-0.03780595			
-9.480519481	1	-0.55	-0.4	2	-0.080693017			
-9.5	2	-0.53	-0.573770492	2	0.071160619			
-9.62962963	1	-0.788794182	-0.7	2	0.03825			
-10	2	0.61	-0.718019845	2	0.02541732			
-10	2	-0.155454545	-0.772357724	2	0.122123894			
-10	2	-0.17	-0.8	2	-0.017586924			
-10	2	-0.214363636	-0.9	2	0.07575			
-10	2	-0.48	-1	2	0.325183981			
-10	2	-0.48	-1	2	0.264166509			
-10	2	-0.55	-1	2	0.157385933			
-10	2	-0.59	-1	2	0.11162283			
-10	2	-0.61	-1	2	0.057946457			
-10	2	-2.320595927	-1	2	0.04575			
-10	1	-1.14	-1	2	0.04302914			
-10	1	-1.46	-1	2	0.0375			
-10	1	-1.93	-1	2	0.030780042			
-10	1	-1.94	-1	2	0.012368754			
-10	1	-2.25	-1	2	0.010419853			
-10	1	-2.28	-1	1	-0.001135296			
-10	1	-2.29	-1.06080207	2	0.27			
